function,thinking_time,level,died_count,win_count,scores_mean,scores_std,num_moves_mean,num_moves_std,times_mean,times_std
max_reward,0.1,0,0,10,1.1,0.0,16.4,0.7999999999999999,3.040079855918884,0.1863524410199167
max_visits,0.1,0,7,3,-0.29999999999999993,0.9165151389911681,11.6,4.94368283772331,2.1361490964889525,0.8784888417388714
max_visits_50_reward_50,0.1,0,0,10,1.1,0.0,16.2,0.6,2.950945782661438,0.1083713894335013
max_visits_25_reward_75,0.1,0,0,10,1.1,0.0,16.2,0.6,2.9333086967468263,0.1038287282838299
max_visits_75_reward_25,0.1,0,0,10,1.1,0.0,16.4,0.7999999999999999,2.964019536972046,0.16348047039565491
max_reward_optimistic,0.1,0,0,10,1.1,0.0,18.2,2.0880613017821097,3.291006588935852,0.3901244769328092
max_reward_pessimistic,0.1,0,10,0,-0.9,0.0,8.3,1.268857754044952,1.5398149013519287,0.23877801102736138
max_reward_median,0.1,0,10,0,-0.9,0.0,7.5,2.1563858652847827,1.4117811679840089,0.38422025713339936
max_reward,0.5,0,0,10,1.1,0.0,16.0,0.0,9.29479467868805,0.031396580822583287
max_visits,0.5,0,8,2,-0.5,0.8000000000000002,9.2,4.749736834815167,5.3656203031539915,2.755799893195267
max_visits_50_reward_50,0.5,0,0,10,1.1,0.0,16.2,0.6,9.401130604743958,0.3596325318978742
max_visits_25_reward_75,0.5,0,0,10,1.1,0.0,16.4,1.2,9.515099024772644,0.6923559840632887
max_visits_75_reward_25,0.5,0,0,10,1.1,0.0,16.0,0.0,9.316314482688904,0.04624191020006418
max_reward_optimistic,0.5,0,0,10,1.1,0.0,17.8,2.0880613017821097,10.331636357307435,1.1891811818307176
max_reward_pessimistic,0.5,0,10,0,-0.9,0.0,4.7,1.2688577540449522,2.776025152206421,0.7277601164022824
max_reward_median,0.5,0,10,0,-0.9,0.0,4.7,1.7916472867168918,2.775735306739807,1.037981237869885
max_reward,1,0,0,10,1.1,0.0,17.0,1.3416407864998738,18.36695945262909,1.4500237217364704
max_visits,1,0,5,5,0.10000000000000005,1.0,13.0,6.29285308902091,14.06920895576477,6.782830693676343
max_visits_50_reward_50,1,0,0,10,1.1,0.0,16.6,1.2806248474865698,17.917095065116882,1.3705434383079
max_visits_25_reward_75,1,0,0,10,1.1,0.0,16.6,1.8,17.914464259147643,1.919217553767971
max_visits_75_reward_25,1,0,0,10,1.1,0.0,16.0,0.0,17.274800968170165,0.05115527807340566
max_reward_optimistic,1,0,0,10,1.1,0.0,17.8,2.0880613017821097,19.230508947372435,2.268735326665416
max_reward_pessimistic,1,0,10,0,-0.9,0.0,3.0,0.0,3.3045719146728514,0.020670070368138588
max_reward_median,1,0,10,0,-0.9,0.0,7.3,2.8301943396169813,7.929067611694336,3.059169208454397
max_reward,2,0,0,10,1.1,0.0,16.8,1.5999999999999999,34.988119053840634,3.3131187167529776
max_visits,2,0,7,3,-0.3,0.9165151389911681,9.0,4.711687595755898,18.77625164985657,9.817531908148085
max_visits_50_reward_50,2,0,2,8,0.7,0.8000000000000002,14.5,5.239274758971894,30.198625206947327,10.876323693226032
max_visits_25_reward_75,2,0,1,9,0.9,0.6000000000000001,14.8,3.6,30.823145508766174,7.484850051242609
max_visits_75_reward_25,2,0,3,7,0.5,0.9165151389911681,12.5,5.352569476429054,26.045454740524292,11.118876166451363
