function,thinking_time,died_count,lived_count,snake_len_mean,snake_len_std,num_moves_mean,num_moves_std,times_mean,times_std
max_reward,0.1,50,0,8.32,2.139532659250613,112.38,47.29857925984669,21.161089148521423,8.86877857495305
max_reward,0.5,50,0,12.4,5.149757275833493,80.02,40.266854856072385,46.97928965568543,23.789214337541054
max_reward,1,49,1,16.74,6.31762613645347,87.44,36.72283213479048,95.65882948875428,40.30556489714957
max_reward,2,40,10,12.56,4.915933278635909,56.08,20.503502139878446,117.56134155273438,43.02887793454446
max_visits,0.1,50,0,6.84,1.460958589419974,148.86,66.53089808502513,27.92094518184662,12.426686780560882
max_visits,0.5,50,0,9.98,3.5127766794944417,78.5,37.55436059900368,45.8915016412735,22.086959488345244
max_visits,1,50,0,12.34,4.33409736854169,72.7,33.101208437155286,79.33917024612427,36.14069230183938
max_visits,2,40,10,11.58,4.094337553255715,53.56,22.9670720815693,112.06126039505006,48.104516832485324
max_visits_50_reward_50,0.1,50,0,8.36,2.1518364250100426,116.5,56.47556993957652,21.818250546455385,10.51849580740032
max_visits_50_reward_50,0.5,50,0,11.0,3.3763886032268267,73.4,31.628468189275306,42.98184009552002,18.544703738657496
max_visits_50_reward_50,1,49,1,12.7,4.716990566028302,64.68,32.67686643483429,70.55966877937317,35.762334648607336
max_visits_50_reward_50,2,36,14,13.32,5.2818178688781,54.54,24.46320502305452,114.24109427452088,51.26600759371489
max_visits_25_reward_75,0.1,50,0,8.84,2.886936092122581,107.52,46.2956758239903,20.22131757736206,8.735348614383868
max_visits_25_reward_75,0.5,50,0,12.94,4.780836746846727,85.14,38.09829917463509,50.051728601455686,22.605467527481572
max_visits_25_reward_75,1,50,0,13.3,5.821511831131154,70.74,34.802764258029846,77.28252763748169,38.120810325298514
max_visits_25_reward_75,2,39,11,14.0,4.6,60.62,20.209789706971225,126.9240431022644,42.38118469635515
max_visits_75_reward_25,0.1,50,0,8.16,1.9116485032557633,130.38,61.46833005703019,24.478980927467347,11.533459380058185
max_visits_75_reward_25,0.5,50,0,10.5,3.6565010597564442,77.94,34.89206786649367,45.67763024806976,20.52682555751936
max_visits_75_reward_25,1,50,0,12.36,4.52,67.96,29.128652560666104,74.19715021133423,31.9133076137909
max_visits_75_reward_25,2,38,12,12.32,4.593212383506777,55.58,23.173338128116114,116.33392240047455,48.54208276805463
max_reward_optimistic,0.1,50,0,13.5,6.007495318350236,162.82,85.12242712705037,31.1183669424057,16.414925932066186
max_reward_optimistic,0.5,50,0,18.98,3.8235585519251565,132.66,39.75606117310919,78.01625164985657,23.572246860380186
max_reward_optimistic,1,44,6,15.82,4.2458921324028,102.88,34.62694904261708,111.61891781330108,38.11799323190781
max_reward_optimistic,2,13,37,15.62,3.267353669255901,84.38,4.5249972375682175,175.8811004447937,10.82051145954275
max_reward_pessimistic,0.1,49,1,5.12,0.7386474125047754,386.1,226.67167886615215,71.95776462078095,42.10941755816638
max_reward_pessimistic,0.5,0,50,3.0,0.0,311.46,0.6069596362197408,180.23893741130829,0.13367419863323587
max_reward_pessimistic,1,0,50,3.0,0.0,167.74,0.4386342439892261,180.7150061225891,0.375892653787066
max_reward_pessimistic,2,0,50,3.0,0.0,86.96,0.19595917942265423,181.57863368988038,0.30517125892100244
max_reward_median,0.1,50,0,6.68,1.76,136.42,66.08966333701511,25.102072262763976,12.097714676577713
max_reward_median,0.5,35,15,5.66,1.4643770006388384,220.76,78.94949271527969,127.65571418762207,45.583751727739056
max_reward_median,1,15,35,4.92,1.8850994668717087,145.6,38.394791313406046,157.16916123867034,41.219450933708195
max_reward_median,2,2,48,4.02,1.435130656072819,86.24,3.409164120426002,180.0782181406021,7.204005447252598
