function,thinking_time,level,died_count,win_count,scores_mean,scores_std,num_moves_mean,num_moves_std,times_mean,times_std
max_reward,0.1,0,0,10,1.1,0,17.8,2.271563338,3.262613916,0.403813549
max_visits,0.1,0,8,2,-0.5,0.8,13.5,5.766281297,2.470168352,1.032246373
max_visits_50_reward_50,0.1,0,4,6,0.3,0.979795897,15.8,6.063002556,2.880220175,1.067394945
max_visits_25_reward_75,0.1,0,0,10,1.1,0,18.4,2.497999199,3.326866841,0.42837084
max_visits_75_reward_25,0.1,0,9,1,-0.7,0.6,11.9,6.62495283,2.192792416,1.183195633
max_reward_optimistic,0.1,0,4,6,0.3,0.979795897,13.8,7.068238819,2.519493151,1.252321031
max_reward_pessimistic,0.1,0,10,0,-0.9,0,7.9,2.022374842,1.46637094,0.346381365
max_reward_median,0.1,0,10,0,-0.9,0,6.7,1.791647287,1.262337494,0.332765087
max_reward,0.5,0,0,10,1.1,0,17,1.341640786,9.883590174,0.778279383
max_visits,0.5,0,8,2,-0.5,0.8,13.1,8.383913167,7.613248181,4.823000755
max_visits_50_reward_50,0.5,0,5,5,0.1,1,17.1,2.62488095,9.922672439,1.518608531
max_visits_25_reward_75,0.5,0,0,10,1.1,0,16.8,0.979795897,9.752933288,0.55203155
max_visits_75_reward_25,0.5,0,7,3,-0.3,0.916515139,12.8,7.533923281,7.459060693,4.342073925
max_reward_optimistic,0.5,0,0,10,1.1,0,17,1.61245155,9.901639771,0.959474619
max_reward_pessimistic,0.5,0,10,0,-0.9,0,4.7,1.268857754,2.787867856,0.735554895
max_reward_median,0.5,0,10,0,-0.9,0,7,1.732050808,4.11803863,0.990951636
max_reward,1,0,0,10,1.1,0,16,0,17.31339383,0.042055988
max_visits,1,0,10,0,-0.9,0,11.4,6.118823416,12.34979978,6.584737647
max_visits_50_reward_50,1,0,5,5,0.1,1,15.4,3.104834939,16.66390858,3.356360258
max_visits_25_reward_75,1,0,0,10,1.1,0,16.4,0.8,17.72632387,0.87379268
max_visits_75_reward_25,1,0,8,2,-0.5,0.8,11.5,6.5,12.45294127,7.002628941
max_reward_optimistic,1,0,0,10,1.1,0,17,1,18.40666022,1.079914814
max_reward_pessimistic,1,0,10,0,-0.9,0,5,1.549193338,5.474189258,1.676394256
max_reward_median,1,0,10,0,-0.9,0,6.3,1.9,6.845837927,2.042431126
max_reward,2,0,0,10,1.1,0,16.4,0.8,34.14493959,1.684427803
max_visits,2,0,8,2,-0.5,0.8,11.6,6.167657578,24.14240527,12.79768878
max_visits_50_reward_50,2,0,4,6,0.3,0.979795897,17.6,3.979949748,36.61987214,8.278359794
max_visits_25_reward_75,2,0,0,10,1.1,0,16.6,0.916515139,34.56030509,1.900980196
max_visits_75_reward_25,2,0,6,4,-0.1,0.979795897,14.3,6.213694553,29.75922885,12.9183655
max_reward_optimistic,2,0,0,10,1.1,0,17,1.843908891,35.38036356,3.82341218
max_reward_pessimistic,2,0,10,0,-0.9,0,4.5,1.360147051,9.427003384,2.812019133
max_reward_median,2,0,10,0,-0.9,0,7.6,3.611094017,15.85785584,7.482438326
max_reward,0.1,1,0,10,1.1,0,16.2,0.6,2.932584262,0.13298671
max_visits,0.1,1,7,3,-0.3,0.916515139,10,5.779273311,1.839710855,1.028169693
max_visits_50_reward_50,0.1,1,1,9,0.9,0.6,16.5,3.383784863,2.978196406,0.608937148
max_visits_25_reward_75,0.1,1,0,10,1.1,0,16,0,2.912185955,0.038160938
max_visits_75_reward_25,0.1,1,2,8,0.7,0.8,15.4,6.311893535,2.78720963,1.11602213
max_reward_optimistic,0.1,1,2,8,0.7,0.8,15.8,5.015974482,2.872330189,0.890320116
max_reward_pessimistic,0.1,1,10,0,-0.9,0,8.3,1.676305461,1.545367193,0.302971552
max_reward_median,0.1,1,10,0,-0.9,0,7.7,3.377869151,1.435231996,0.590912391
max_reward,0.5,1,0,10,1.1,0,16,0,9.268709493,0.035068364
max_visits,0.5,1,4,6,0.3,0.979795897,13.2,5.528109984,7.686863399,3.175879222
max_visits_50_reward_50,0.5,1,1,9,0.9,0.6,16.3,3.950949253,9.460281873,2.272809091
max_visits_25_reward_75,0.5,1,0,10,1.1,0,16,0,9.278946352,0.034615631
max_visits_75_reward_25,0.5,1,3,7,0.5,0.916515139,13.5,5.296225071,7.837003398,3.04451801
max_reward_optimistic,0.5,1,0,10,1.1,0,16.6,1.280624847,9.620095277,0.717925208
max_reward_pessimistic,0.5,1,10,0,-0.9,0,4.8,0.6,2.84880867,0.334910532
max_reward_median,0.5,1,10,0,-0.9,0,7.8,2.181742423,4.573084855,1.258515209
max_reward,1,1,0,10,1.1,0,16.2,0.6,17.52671494,0.657289632
max_visits,1,1,5,5,0.1,1,11.9,5.752390807,12.88048866,6.172423468
max_visits_50_reward_50,1,1,2,8,0.7,0.8,14.4,3.746998799,15.57862742,4.029374234
max_visits_25_reward_75,1,1,0,10,1.1,0,16.4,0.8,17.71574883,0.853025054
max_visits_75_reward_25,1,1,7,3,-0.3,0.916515139,8.2,5.706137047,8.885075855,6.128969099
max_reward_optimistic,1,1,0,10,1.1,0,16.4,0.8,17.71586134,0.867057367
max_reward_pessimistic,1,1,10,0,-0.9,0,3.6,1.280624847,3.946282291,1.37138498
max_reward_median,1,1,10,0,-0.9,0,6.9,2.385372088,7.510024071,2.576577738
max_reward,2,1,0,10,1.1,0,16.8,1.326649916,34.94297807,2.758283422
max_visits,2,1,5,5,0.1,1,12.8,5.325410782,26.66402714,11.051219
max_visits_50_reward_50,2,1,3,7,0.5,0.916515139,13.8,4.915282291,28.71389649,10.20140196
max_visits_25_reward_75,2,1,0,10,1.1,0,16.6,1.280624847,34.54400613,2.68334706
max_visits_75_reward_25,2,1,5,5,0.1,1,10.7,6.293647591,22.28298926,13.04513256
max_reward_optimistic,2,1,0,10,1.1,0,16.6,1.280624847,34.54442542,2.646130005
max_reward_pessimistic,2,1,10,0,-0.9,0,4.3,1.417744688,9.010540152,2.953066883
max_reward_median,2,1,10,0,-0.9,0,7.3,2.368543856,15.2293036,4.904665435
max_reward,0.1,2,0,10,1.1,0,25.2,2.227105745,4.531123471,0.402344634
